PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,GAMES_PLAYED_FLAG,ht_feet,ht_inches
203923,James,Young,James Young,"Young, James",J. Young,1995-08-16T00:00:00,Kentucky,USA,Kentucky/USA,215,1,13,Guard-Forward,Active,1610612738,Celtics,BOS,celtics,Boston,james_young,2014,2015,Y,Y,6,6
203096,Jared,Sullinger,Jared Sullinger,"Sullinger, Jared",J. Sullinger,1992-03-04T00:00:00,Ohio State,USA,Ohio State/USA,260,3,7,Center-Forward,Active,1610612738,Celtics,BOS,celtics,Boston,jared_sullinger,2012,2015,N,Y,6,9
201973,Jonas,Jerebko,Jonas Jerebko,"Jerebko, Jonas",J. Jerebko,1987-03-02T00:00:00,"Kinna, Sweden",Sweden,Angelico Biella/Sweden,231,5,8,Forward,Active,1610612738,Celtics,BOS,celtics,Boston,jonas_jerebko,2009,2015,N,Y,6,10
1626175,Jordan,Mickey,Jordan Mickey,"Mickey, Jordan",J. Mickey,1994-07-09T00:00:00,Louisiana State,USA,LSU-Shreveport/USA,235,0,55,Forward,Active,1610612738,Celtics,BOS,celtics,Boston,jordan_mickey,2015,2015,Y,Y,6,8
203482,Kelly,Olynyk,Kelly Olynyk,"Olynyk, Kelly",K. Olynyk,1991-04-19T00:00:00,Gonzaga,Canada,Gonzaga/Canada,238,2,41,Center-Forward,Active,1610612738,Celtics,BOS,celtics,Boston,kelly_olynyk,2013,2015,N,Y,7,0
203935,Marcus,Smart,Marcus Smart,"Smart, Marcus",M. Smart,1994-03-06T00:00:00,Oklahoma State,USA,Oklahoma State/USA,220,1,36,Guard,Active,1610612738,Celtics,BOS,celtics,Boston,marcus_smart,2014,2015,Y,Y,6,4
1626154,RJ,Hunter,RJ Hunter,"Hunter, RJ",R. Hunter,1993-10-24T00:00:00,Georgia State,USA,Georgia State/USA,185,0,28,Guard,Active,1610612738,Celtics,BOS,celtics,Boston,rj_hunter,2015,2015,Y,Y,6,5
1626179,Terry,Rozier,Terry Rozier,"Rozier, Terry",T. Rozier,1994-03-17T00:00:00,Louisville,USA,Louisville/USA,190,0,12,Guard,Active,1610612738,Celtics,BOS,celtics,Boston,terry_rozier,2015,2015,Y,Y,6,2
203092,Tyler,Zeller,Tyler Zeller,"Zeller, Tyler",T. Zeller,1990-01-17T00:00:00,North Carolina,USA,North Carolina/USA,253,3,44,Center-Forward,Active,1610612738,Celtics,BOS,celtics,Boston,tyler_zeller,2012,2015,N,Y,7,0
2760,Anderson,Varejao,Anderson Varejao,"Varejao, Anderson",A. Varejao,1982-09-28T00:00:00,"Santa Teresa, Brazil",Brazil,FC Barcelona/Brazil,273,11,18,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,anderson_varejao,2004,2015,N,Y,6,11
101112,Channing,Frye,Channing Frye,"Frye, Channing",C. Frye,1983-05-17T00:00:00,Arizona,USA,Arizona/USA,255,9,9,Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,channing_frye,2005,2015,N,Y,6,11
2563,Dahntay,Jones,Dahntay Jones,"Jones, Dahntay",D. Jones,1980-12-27T00:00:00,Duke,USA,Duke/USA,225,11,30,Guard-Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,dahntay_jones,2003,2015,Y,Y,6,6
202697,Iman,Shumpert,Iman Shumpert,"Shumpert, Iman",I. Shumpert,1990-06-26T00:00:00,Georgia Tech,USA,Georgia Tech/USA,220,4,4,Guard,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,iman_shumpert,2011,2015,N,Y,6,5
2747,J.R.,Smith,J.R. Smith,"Smith, J.R.",J. Smith,1985-09-09T00:00:00,St. Benedict's Prep (NJ),USA,"St. Benedict's Prep (Newark, NJ)/USA",225,11,5,Guard-Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jr_smith,2004,2015,N,Y,6,6
2592,James,Jones,James Jones,"Jones, James",J. Jones,1980-10-04T00:00:00,Miami (FL),USA,Miami (Fla.)/USA,218,12,1,Guard-Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,james_jones,2003,2015,N,Y,6,8
203099,Jared,Cunningham,Jared Cunningham,"Cunningham, Jared",J. Cunningham,1991-05-22T00:00:00,Oregon State,USA,Oregon State/USA,,3,,,Inactive,0,,,,,jared_cunningham,2012,2015,Y,Y,,
203925,Joe,Harris,Joe Harris,"Harris, Joe",J. Harris,1991-09-07T00:00:00,Virginia,USA,Virginia/USA,,1,,,Inactive,0,,,,,joe_harris,2014,2015,Y,Y,,
203895,Jordan,McRae,Jordan McRae,"McRae, Jordan",J. McRae,1991-03-28T00:00:00,Tennessee,,Tennessee/USA,179,0,12,Guard,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jordan_mcrae,2015,2015,Y,Y,6,5
201567,Kevin,Love,Kevin Love,"Love, Kevin",K. Love,1988-09-07T00:00:00,UCLA,USA,UCLA/USA,251,7,0,Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,kevin_love,2008,2015,N,Y,6,10
202681,Kyrie,Irving,Kyrie Irving,"Irving, Kyrie",K. Irving,1992-03-23T00:00:00,Duke,Australia,Duke/Australia,193,4,2,Guard,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,kyrie_irving,2011,2015,N,Y,6,3
2544,LeBron,James,LeBron James,"James, LeBron",L. James,1984-12-30T00:00:00,St. Vincent-St. Mary HS (OH),USA,St. Vincent-St. Mary HS (OH)/USA,250,12,23,Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,lebron_james,2003,2015,N,Y,6,8
203521,Matthew,Dellavedova,Matthew Dellavedova,"Dellavedova, Matthew",M. Dellavedova,1990-09-08T00:00:00,Saint Mary's (CA),Australia,St. Mary's (CA)/Australia,198,2,8,Guard,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,matthew_dellavedova,2013,2015,N,Y,6,4
2590,Mo,Williams,Mo Williams,"Williams, Mo",M. Williams,1982-12-19T00:00:00,Alabama,USA,Alabama/USA,198,12,52,Guard,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,maurice_williams,2003,2015,N,Y,6,1
2210,Richard,Jefferson,Richard Jefferson,"Jefferson, Richard",R. Jefferson,1980-06-21T00:00:00,Arizona,USA,Arizona/USA,233,14,24,Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,richard_jefferson,2001,2015,N,Y,6,7
201619,Sasha,Kaun,Sasha Kaun,"Kaun, Sasha",S. Kaun,1985-05-08T00:00:00,Kansas,,,260,0,14,Center,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,sasha_kaun,2008,2015,Y,Y,6,11
202389,Timofey,Mozgov,Timofey Mozgov,"Mozgov, Timofey",T. Mozgov,1986-07-16T00:00:00,"St. Petersburg, Russia",Russia,Khimki Moscow/Russia,275,5,20,Center,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,timofey_mozgov,2010,2015,N,Y,7,1
202684,Tristan,Thompson,Tristan Thompson,"Thompson, Tristan",T. Thompson,1991-03-13T00:00:00,Texas,Canada,Texas/Canada,238,4,13,Center-Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,tristan_t_thompson,2011,2015,N,Y,6,9
201582,Alexis,Ajinca,Alexis Ajinca,"Ajinca, Alexis",A. Ajinca,1988-05-06T00:00:00,"Saint Etienne, France",France,"Saint Etienne, France",248,5,42,Center,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,alexis_ajinca,2008,2015,Y,Y,7,2
202087,Alonzo,Gee,Alonzo Gee,"Gee, Alonzo",A. Gee,1987-05-29T00:00:00,Alabama,USA,Alabama/USA,225,6,15,Forward,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,alonzo_gee,2009,2015,Y,Y,6,6
203076,Anthony,Davis,Anthony Davis,"Davis, Anthony",A. Davis,1993-03-11T00:00:00,Kentucky,USA,Kentucky/USA,253,3,23,Forward-Center,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,anthony_davis,2012,2015,N,Y,6,10
1626214,Bryce,Dejean-Jones,Bryce Dejean-Jones,"Dejean-Jones, Bryce",B. Dejean-Jones,1992-08-21T00:00:00,Iowa State,USA,Iowa State/USA,203,0,31,Guard,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,bryce_dejean-jones,2015,2015,Y,Y,6,6
201967,Dante,Cunningham,Dante Cunningham,"Cunningham, Dante",D. Cunningham,1987-04-22T00:00:00,Villanova,USA,Villanova/USA,230,6,44,Forward,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,dante_cunningham,2009,2015,N,Y,6,8
201569,Eric,Gordon,Eric Gordon,"Gordon, Eric",E. Gordon,1988-12-25T00:00:00,Indiana,USA,Indiana/USA,215,7,10,Guard,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,eric_gordon,2008,2015,N,Y,6,4
202397,Ish,Smith,Ish Smith,"Smith, Ish",I. Smith,1988-07-05T00:00:00,Wake Forest,USA,Wake Forest/USA,175,5,1,Guard,Active,1610612755,76ers,PHI,sixers,Philadelphia,ish_smith,2010,2015,Y,Y,6,0
203516,James,Ennis,James Ennis,"Ennis, James",J. Ennis,1990-07-01T00:00:00,Long Beach State,USA,Long Beach State,210,1,4,Forward,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,james_ennis,2014,2015,Y,Y,6,7
202690,Jimmer,Fredette,Jimmer Fredette,"Fredette, Jimmer",J. Fredette,1989-02-25T00:00:00,Brigham Young,USA,Brigham Young/USA,,4,,,Inactive,0,,,,,jimmer_fredette,2011,2015,Y,Y,,
202706,Jordan,Hamilton,Jordan Hamilton,"Hamilton, Jordan",J. Hamilton,1990-10-06T00:00:00,Texas,USA,Texas/USA,220,4,25,Guard-Forward,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,jordan_hamilton,2011,2015,Y,Y,6,7
201950,Jrue,Holiday,Jrue Holiday,"Holiday, Jrue",J. Holiday,1990-06-12T00:00:00,UCLA,USA,UCLA/USA,205,6,11,Guard,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,jrue_holiday,2009,2015,N,Y,6,4
2570,Kendrick,Perkins,Kendrick Perkins,"Perkins, Kendrick",K. Perkins,1984-11-10T00:00:00,Clifton J. Ozen HS (TX),USA,Clifton J. Ozen HS (TX)/USA,270,12,5,Center,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,kendrick_perkins,2003,2015,N,Y,6,10
202337,Luke,Babbitt,Luke Babbitt,"Babbitt, Luke",L. Babbitt,1989-06-20T00:00:00,Nevada,USA,Nevada-Reno/USA,225,5,8,Forward,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,luke_babbitt,2010,2015,Y,Y,6,9
101126,Nate,Robinson,Nate Robinson,"Robinson, Nate",N. Robinson,1984-05-31T00:00:00,Washington,USA,Washington/USA,,10,,,Inactive,0,,,,,nate_robinson,2005,2015,N,Y,,
202708,Norris,Cole,Norris Cole,"Cole, Norris",N. Cole,1988-10-13T00:00:00,Cleveland State,USA,Cleveland State/USA,175,4,30,Guard,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,norris_cole,2011,2015,N,Y,6,2
201600,Omer,Asik,Omer Asik,"Asik, Omer",O. Asik,1986-07-04T00:00:00,Turkey,Turkey,Fenerbahce S.K./Turkey,255,5,3,Center,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,omer_asik,2010,2015,N,Y,7,0
203111,Orlando,Johnson,Orlando Johnson,"Johnson, Orlando",O. Johnson,1989-03-11T00:00:00,California-Santa Barbara,USA,California-Santa Barbara/USA,,2,,,Inactive,0,,,,,orlando_johnson,2012,2015,Y,Y,,
201583,Ryan,Anderson,Ryan Anderson,"Anderson, Ryan",R. Anderson,1988-05-06T00:00:00,California,USA,California/USA,240,7,33,Forward,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,ryan_j_anderson,2008,2015,N,Y,6,10
204025,Tim,Frazier,Tim Frazier,"Frazier, Tim",T. Frazier,1990-11-01T00:00:00,,USA,Penn State/USA,170,1,2,Guard,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,tim_frazier,2014,2015,Y,Y,6,1
201962,Toney,Douglas,Toney Douglas,"Douglas, Toney",T. Douglas,1986-03-16T00:00:00,Florida State,USA,Florida State/USA,195,6,16,Guard,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,toney_douglas,2009,2015,N,Y,6,2
201936,Tyreke,Evans,Tyreke Evans,"Evans, Tyreke",T. Evans,1989-09-19T00:00:00,Memphis,USA,Memphis/USA,220,6,1,Guard-Forward,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,tyreke_evans,2009,2015,N,Y,6,6
201166,Aaron,Brooks,Aaron Brooks,"Brooks, Aaron",A. Brooks,1985-01-14T00:00:00,Oregon,USA,Oregon/USA,161,7,0,Guard,Active,1610612741,Bulls,CHI,bulls,Chicago,aaron_brooks,2007,2015,Y,Y,6,0
1626171,Bobby,Portis,Bobby Portis,"Portis, Bobby",B. Portis,1995-02-10T00:00:00,Arkansas,USA,Arkansas/USA,230,0,5,Forward,Active,1610612741,Bulls,CHI,bulls,Chicago,bobby_portis,2015,2015,N,Y,6,11
203946,Cameron,Bairstow,Cameron Bairstow,"Bairstow, Cameron",C. Bairstow,1990-12-07T00:00:00,New Mexico,Australia,New Mexico/Australia,250,1,41,Forward-Center,Active,1610612741,Bulls,CHI,bulls,Chicago,cameron_bairstow,2014,2015,Y,Y,6,9
1626245,Cristiano,Felicio,Cristiano Felicio,"Felicio, Cristiano",C. Felicio,1992-07-07T00:00:00,,Brazil,Brazil,275,0,6,Forward-Center,Active,1610612741,Bulls,CHI,bulls,Chicago,cristiano_felicio,2015,2015,Y,Y,6,10
201565,Derrick,Rose,Derrick Rose,"Rose, Derrick",D. Rose,1988-10-04T00:00:00,Memphis,USA,Memphis/USA,190,6,1,Guard,Active,1610612741,Bulls,CHI,bulls,Chicago,derrick_rose,2008,2015,N,Y,6,3
203926,Doug,McDermott,Doug McDermott,"McDermott, Doug",D. McDermott,1992-01-03T00:00:00,Creighton,USA,Creighton/USA,225,1,3,Forward,Active,1610612741,Bulls,CHI,bulls,Chicago,doug_mcdermott,2014,2015,N,Y,6,8
202734,E'Twaun,Moore,E'Twaun Moore,"Moore, E'Twaun",E. Moore,1989-02-25T00:00:00,Purdue,USA,Purdue/USA,191,4,55,Guard,Active,1610612741,Bulls,CHI,bulls,Chicago,etwaun_moore,2011,2015,N,Y,6,4
202710,Jimmy,Butler,Jimmy Butler,"Butler, Jimmy",J. Butler,1989-09-14T00:00:00,Marquette,USA,Marquette/USA,220,4,21,Guard-Forward,Active,1610612741,Bulls,CHI,bulls,Chicago,jimmy_butler,2011,2015,N,Y,6,7
201149,Joakim,Noah,Joakim Noah,"Noah, Joakim",J. Noah,1985-02-25T00:00:00,Florida,USA,Florida/USA,232,8,13,Center,Active,1610612741,Bulls,CHI,bulls,Chicago,joakim_noah,2007,2015,N,Y,6,11
203200,Justin,Holiday,Justin Holiday,"Holiday, Justin",J. Holiday,1989-04-05T00:00:00,Washington,USA,Washington/USA,185,2,7,Guard,Active,1610612741,Bulls,CHI,bulls,Chicago,justin_holiday,2012,2015,Y,Y,6,6
2550,Kirk,Hinrich,Kirk Hinrich,"Hinrich, Kirk",K. Hinrich,1981-01-02T00:00:00,Kansas,USA,Kansas/USA,190,12,12,Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,kirk_hinrich,2003,2015,N,Y,6,4
2399,Mike,Dunleavy,Mike Dunleavy,"Dunleavy, Mike",M. Dunleavy,1980-09-15T00:00:00,Duke,USA,Duke/USA,230,13,34,Guard-Forward,Active,1610612741,Bulls,CHI,bulls,Chicago,mike_dunleavy,2002,2015,N,Y,6,9
202703,Nikola,Mirotic,Nikola Mirotic,"Mirotic, Nikola",N. Mirotic,1991-02-11T00:00:00,,Montenegro,Montenegro,220,1,44,Forward,Active,1610612741,Bulls,CHI,bulls,Chicago,nikola_mirotic,2014,2015,N,Y,6,10
2200,Pau,Gasol,Pau Gasol,"Gasol, Pau",P. Gasol,1980-07-06T00:00:00,"Barcelona, Spain",Spain,FC Barcelona/Spain,250,14,16,Center-Forward,Active,1610612741,Bulls,CHI,bulls,Chicago,pau_gasol,2001,2015,N,Y,7,0
201959,Taj,Gibson,Taj Gibson,"Gibson, Taj",T. Gibson,1985-06-24T00:00:00,Southern California,USA,USC/USA,225,6,22,Forward,Active,1610612741,Bulls,CHI,bulls,Chicago,taj_gibson,2009,2015,N,Y,6,9
203503,Tony,Snell,Tony Snell,"Snell, Tony",T. Snell,1991-11-10T00:00:00,New Mexico,USA,New Mexico/USA,200,2,20,Forward,Active,1610612741,Bulls,CHI,bulls,Chicago,tony_snell,2013,2015,N,Y,6,7
202718,Chandler,Parsons,Chandler Parsons,"Parsons, Chandler",C. Parsons,1988-10-25T00:00:00,Florida,USA,Florida/USA,230,4,25,Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,chandler_parsons,2011,2015,N,Y,6,10
101111,Charlie,Villanueva,Charlie Villanueva,"Villanueva, Charlie",C. Villanueva,1984-08-24T00:00:00,Connecticut,USA,Connecticut/USA,232,10,3,Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,charlie_villanueva,2005,2015,N,Y,6,11
101135,David,Lee,David Lee,"Lee, David",D. Lee,1983-04-29T00:00:00,Florida,USA,Florida/USA,245,10,42,Forward-Center,Active,1610612742,Mavericks,DAL,mavericks,Dallas,david_lee,2005,2015,N,Y,6,9
101114,Deron,Williams,Deron Williams,"Williams, Deron",D. Williams,1984-06-26T00:00:00,Illinois,USA,Illinois/USA,200,10,8,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,deron_williams,2005,2015,N,Y,6,3
2734,Devin,Harris,Devin Harris,"Harris, Devin",D. Harris,1983-02-27T00:00:00,Wisconsin,USA,Wisconsin/USA,185,11,34,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,devin_harris,2004,2015,N,Y,6,3
1717,Dirk,Nowitzki,Dirk Nowitzki,"Nowitzki, Dirk",D. Nowitzki,1978-06-19T00:00:00,"Wurzburg, Germany",Germany,DJK Wurzburg/Germany,245,17,41,Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,dirk_nowitzki,1998,2015,N,Y,7,0
203939,Dwight,Powell,Dwight Powell,"Powell, Dwight",D. Powell,1991-07-20T00:00:00,Stanford,Canada,Stanford/Canada,240,1,7,Forward-Center,Active,1610612742,Mavericks,DAL,mavericks,Dallas,dwight_powell,2014,2015,Y,Y,6,11
201580,JaVale,McGee,JaVale McGee,"McGee, JaVale",J. McGee,1988-01-19T00:00:00,Nevada,USA,Nevada-Reno/USA,270,7,11,Center,Active,1610612742,Mavericks,DAL,mavericks,Dallas,javale_mcgee,2008,2015,N,Y,7,0
202379,Jeremy,Evans,Jeremy Evans,"Evans, Jeremy",J. Evans,1987-10-24T00:00:00,Western Kentucky,USA,Western Kentucky/USA,200,5,21,Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,jeremy_evans,2010,2015,Y,Y,6,9
203098,John,Jenkins,John Jenkins,"Jenkins, John",J. Jenkins,1991-03-06T00:00:00,Vanderbilt,USA,Vanderbilt/USA,215,3,23,Guard,Active,1610612756,Suns,PHX,suns,Phoenix,john_jenkins,2012,2015,Y,Y,6,4
200826,Jose Juan,Barea,Jose Juan Barea,"Barea, Jose Juan",J. Barea,1984-06-26T00:00:00,Northeastern,Puerto Rico,Northeastern/Puerto Rico,185,9,5,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,jose_barea,2006,2015,Y,Y,6,0
1626147,Justin,Anderson,Justin Anderson,"Anderson, Justin",J. Anderson,1993-11-19T00:00:00,Virginia,USA,Virginia/USA,228,0,1,Guard-Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,justin_anderson,2015,2015,Y,Y,6,6
101109,Raymond,Felton,Raymond Felton,"Felton, Raymond",R. Felton,1984-06-26T00:00:00,North Carolina,USA,North Carolina/USA,205,10,2,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,raymond_felton,2005,2015,N,Y,6,1
1626257,Salah,Mejri,Salah Mejri,"Mejri, Salah",S. Mejri,1986-06-15T00:00:00,,Tunisia,Tunisia,245,0,50,Center,Active,1610612742,Mavericks,DAL,mavericks,Dallas,salah_mejri,2015,2015,Y,Y,7,2
202083,Wesley,Matthews,Wesley Matthews,"Matthews, Wesley",W. Matthews,1986-10-14T00:00:00,Marquette,USA,Marquette/USA,220,6,23,Guard-Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,wesley_matthews,2009,2015,N,Y,6,5
